id,name,surname,club,categories
,Piotr,GARGACZ,Drawsko Pomorskie/Trener Kacper Team,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Bartosz,GRZYMAJŁO,Wałbrzych/BG Electro forma,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Mateusz,IMIOŁEK,Gliwice,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Jakub,JASIŃSKI,Sosnowiec/Jaqobson squad,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Piotr,MARCISZEWSKI,Ełk/Imperium Siły,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Damian,MROCZKA,Sanok,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Dominik,OCHMAN,Sosnowiec/Teamsobala,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Łukasz,PANASIUK,Wrocław/Body Change Center,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Marcin,RUDNIK,Szczytno/APol Szczytno,"Pro Mężczyzn 85 kg / Man Professional 85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Kamil,SADOWSKI,Hamburg/Niemcy,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Krzysztof,SKIBA,Góra/Teamsobala,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Marko,VASARAB,Malacky/Słowacja,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Jakub,WRONA,Siemianowice Śląskie,Pro Mężczyzn 85 kg / Man Professional 85 kg
,Paweł,ZGŁOBICKI,Warszawa/Hardstyle Warszawa,Pro Mężczyzn 85 kg / Man Professional 85 kg
