id,name,surname,club,categories
,Agnieszka,RDZANEK,Milanówek/CKB Iron Family,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Gabriela,SODZAWICZNY,Wrocław/Body Change Center,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Katarzyna,SATKOWSKA,Lublin,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Gabriela,SKRAJDA,Lidzbark Warmiński/Iron heart,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,STACHURA,Kęty/Dorian FC,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Justyna,STALMACH,Tychy/Centrum Kettlebell Tychy,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,SZPANBRUKER-KUŚMIERZ,Kraśnik/CKB Kraśnik,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Martyna,SZROMEK,Tychy/Centrum Kettlebell Tychy,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Katarzyna,SZUPIER-NIEŁACNA,Wrocław,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Julia,URZENDOWSKA,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Magdalena,WARAKOMSKA,Białystok/Akademia sprawności Kłodzko,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Daria,WEJMAN,CKB Hall of madness Siemianowice Śląskie,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Marta,ZÓRAWSKA,Łódź,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Wioleta,MUSIAŁ,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Zofia,CYRANOWSKA,Warszawa,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Patrycja,HUT,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Martyna,MOCZKO,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Marta,PAWLIK,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Marcin,BISKUP,Wrocław/Body Change Center,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Przemysław,BOGUS,Łódź/Dzik Komando,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Paweł,BUCIAK,Bolesławiec,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Kacper,CZARNY,Kłodzko/Akademia Sprawności Kłodzko,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Tomasz,DROZDEK,Bolesławiec/CKB Bolesławiec,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Piotr,GŁOGOWSKI,Oleśnica/Teamsobala,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Ismet,ICEL,Częstochowa,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Maciej,KASPERSKI,Kołobrzeg,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,KAMIL,KILIAN,Ząbkowice Śląskie/Teamsobala,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Paweł,KOLIWESZKA,Brzeg/Synergia Cross Camp,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Rafał,KOLIWESZKA,Brzeg/Synergia Cross Camp,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Damian,KOSTECKI,Wrocław,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Maciej,KRÓLICKI,Wrocław,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Marcin,KUCZKOWSKI,Warszawa/Determinacja Gym,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Kacper,KUŹBIK,Gdańsk/CKB Gdańsk,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Mateusz,LINDE,Łódź,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Przemysław,LITWIEJKO,Koszalin/Lumberjacks Cross Garage,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Piotr,MICHAELI,Milanówek/CKB Iron Family,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Wojciech,MROŻEK,Kraków/Crossfit Lea,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Marcin,MUCHA,Mińsk Mazowieski/CKB Mińsk Mazowiecki,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Daniel,NOWAK,Lubsko/Superhuman factory,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Jacek,OLEARCZYK,Kęty/Dorian FC,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Sławomir,PIETRZYK,Kęty/Dorian FC,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Stanisław,RUTKIEWICZ,Gdańsk/CKB Gdańsk,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Bartłomiej,SITNICKI,Mińsk Mazowiecki/CKB Mińsk Mazowiecki,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Daniel,SYKA,CKB Hall of madness Siemianowice Śląskie,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Marcin,ŚWIERZKO,Oława/Synergia Cross Camp,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
,Tomasz,TWORKOWSKI,Gdańsk/CKB Gdańsk,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Michał,URBAŃSKI,Warszawa/Hardstyle Warszawa,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Bartłomiej,WALCZAK,Wrocław/Teamsobala,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Marcin,WALCZUK,Ełk/Imperium Siły,"Amator Mężczyzn +85 kg / Man Amateur +85 kg,Masters +45 Mężczyzn / Man Masters +45"
